"LastProcessedDate","Date","Emissions_Scope_Category","Emission_Activity_Category","Target_Renewable_Energy_Percentage","Total_Floor_Area_sqft","Target_Compensated_Emissions_tCO2e","Forecasted_Renewable_Energy_Cons","Forecasted_Emissions_Intensity_Reduc","Forecasted_Emissions_tCO2e","Actual_Renewable_Energy_Cons","Net_Emissions_Forecast_tCO2e","Headcount","Planned_Supplier_Emissions_Reduction","Required_Carbon_Credits_tCO2e","Actual_Emissions_Intensity","Planned_Carbon_Credits_tCO2e","Revenue","Planned_Operational_Emissions_Reduction","Final_Forecasted_Emissions_tCO2e","Actual_Emissions_tCO2e","Target_Emissions_tCo2e"
"2023-02-24","2032-11-04","Scope 1","Fleet Vehicles",0,200000,0,150000,20,150000,,250000,350,250000,250000,0,0,150,250000,150000,,
"2023-02-24","2029-02-23","Scope 2","Commercial Building",20,150000,100000,150000,30,200000,,50000,300,250000,50000,30,200000,200,0,100000,,0
"2023-02-24","2036-06-15","Scope 1","Private Jet",10,50000,150000,,20,50000,,0,150,50000,200000,20,0,200,50000,200000,,
"2023-02-24","2023-01-20","Scope 3","Scope 3 Purchased Goods Services",,250000,250000,50000,50,150000,0,0,300,0,0,20,250000,150,150000,100000,50000,200000
"2023-02-24","2038-11-06","Scope 1","Fleet Vehicles",0,100000,200000,250000,10,100000,,100000,100,,,30,100000,200,100000,100000,,100000
"2023-02-24","2040-10-19","Scope 2","Data Center",15,250000,100000,0,0,,,50000,50,200000,100000,0,,250,200000,0,,150000
"2023-02-24","2031-06-13","Scope 3","Scope 3 Investments",30,200000,150000,100000,40,0,,150000,150,100000,150000,,150000,150,0,50000,,250000
"2023-02-24","2041-04-15","Scope 3","Scope 3 Upstream Transportation Distribution",0,150000,,200000,,250000,,200000,350,150000,250000,15,50000,250,50000,150000,,50000
"2023-02-24","2028-08-15","Scope 2","Commercial Building",15,200000,0,100000,20,0,,,200,,150000,25,200000,150,,100000,,100000
"2023-02-24","2021-05-21","Scope 1","Data Center",10,50000,50000,100000,,,90,250000,250,,,10,,300,250000,,,
"2023-02-24","2034-12-11","Scope 3","Commercial Building",20,50000,100000,0,50,100000,,250000,50,50000,50000,25,250000,200,200000,250000,,50000
"2023-02-24","2039-03-29","Scope 2","Fleet Vehicles",30,200000,0,250000,,,,50000,250,150000,,30,100000,200,0,100000,,0
"2023-02-24","2024-03-11","Scope 1","Private Jet",,150000,200000,50000,0,200000,,200000,100,100000,200000,,,150,250000,0,,250000
"2023-02-24","2030-08-19","Scope 3","Scope 3 Downstream Transportation Distribution",15,250000,150000,,40,150000,,150000,200,250000,0,0,0,200,150000,150000,,
"2023-02-24","2037-08-27","Scope 1","Commercial Building",30,100000,50000,150000,30,50000,,,300,0,100000,10,150000,200,50000,250000,,150000
"2023-02-24","2026-08-18","Scope 2","Fleet Vehicles",0,150000,,150000,10,250000,,0,350,200000,250000,15,50000,150,100000,,,200000
"2023-02-24","2022-12-23","Scope 2","Private Jet",,100000,250000,0,,,50,100000,150,,,20,,350,,50000,150000,
"2023-02-24","2027-07-06","Scope 3","Fleet Vehicles",20,50000,,,40,50000,,150000,350,0,,30,50000,150,,200000,,50000
"2023-02-24","2036-01-02","Scope 1","Data Center",10,250000,0,100000,0,100000,,50000,100,150000,100000,10,150000,200,150000,100000,,
"2023-02-24","2033-11-27","Scope 2","Data Center",,200000,100000,50000,10,150000,,0,150,50000,200000,15,200000,200,200000,0,,150000
"2023-02-24","2039-02-01","Scope 1","Commercial Building",10,50000,250000,250000,30,250000,,250000,50,250000,250000,25,0,200,250000,150000,,250000
"2023-02-24","2035-11-04","Scope 3","Scope 3 End-Life Treatment of Sold Product",20,100000,200000,200000,,200000,,100000,300,100000,150000,20,,200,50000,,,0
"2023-02-24","2024-02-11","Scope 1","Private Jet",0,250000,50000,50000,20,0,,200000,200,,50000,0,100000,150,0,200000,,100000
"2023-02-24","2026-12-20","Scope 2","Fleet Vehicles",15,150000,150000,0,50,,,,250,200000,0,,250000,150,100000,250000,,200000
"2023-02-24","2030-02-21","Scope 3","Scope 3 Waste Generated in Operations",30,200000,0,,50,250000,,200000,50,250000,50000,0,0,150,100000,50000,,150000
"2023-02-24","2037-08-14","Scope 1","Commercial Building",,50000,,250000,30,,,150000,300,200000,200000,15,250000,200,250000,200000,,250000
"2023-02-24","2025-03-05","Scope 3","Scope 3 Uncategorized Emissions",10,250000,200000,200000,,200000,,100000,100,,100000,10,,150,0,,,100000
"2023-02-24","2032-10-29","Scope 2","Fleet Vehicles",0,100000,100000,100000,0,0,,,250,150000,,20,200000,150,,250000,,
"2023-02-24","2031-04-06","Scope 3","Scope 3 Employee Commuting",20,200000,50000,150000,40,50000,,50000,350,50000,0,25,50000,150,50000,50000,,0
"2023-02-24","2028-06-17","Scope 2","Data Center",30,150000,250000,200000,10,150000,,0,150,100000,250000,30,150000,150,200000,0,,50000
"2023-02-24","2020-02-20","Scope 1","Private Jet",15,250000,150000,50000,,,20,250000,200,,,,,200,150000,100000,250000,
"2023-02-24","2021-10-25","Scope 3","Scope 3 Fuel and Energy-Related Activity",10,100000,150000,250000,,,30,200000,150,,,15,,250,0,150000,150000,
"2023-02-24","2038-03-18","Scope 2","Commercial Building",30,200000,0,150000,20,100000,,0,250,0,150000,30,100000,200,50000,0,,200000
"2023-02-24","2029-02-22","Scope 1","Private Jet",15,150000,,150000,10,100000,,50000,100,50000,,0,50000,150,150000,200000,,250000
"2023-02-24","2041-03-27","Scope 2","Fleet Vehicles",,50000,50000,0,40,,,100000,300,100000,50000,,0,250,,,,50000
"2023-02-24","2034-11-13","Scope 1","Data Center",0,200000,100000,100000,30,0,,150000,350,0,0,25,200000,150,100000,50000,,
"2023-02-24","2022-02-21","Scope 3","Data Center",20,250000,200000,,,,50,,50,,,20,,200,250000,250000,100000,
"2023-02-24","2023-05-31","Scope 1","Data Center",30,50000,250000,100000,20,200000,70,250000,200,250000,250000,10,,250,200000,0,0,150000
"2023-02-24","2040-10-26","Scope 3","Scope 3 Business Travel",,150000,50000,250000,50,50000,,0,350,200000,100000,0,250000,200,50000,150000,,0
"2023-02-24","2032-04-24","Scope 2","Private Jet",20,100000,100000,0,,150000,,200000,100,150000,150000,15,100000,200,100000,100000,,100000
"2023-02-24","2028-10-27","Scope 1","Fleet Vehicles",10,200000,200000,50000,0,250000,,250000,300,,200000,30,150000,150,0,100000,,200000
"2023-02-24","2040-07-29","Scope 3","Private Jet",0,200000,150000,150000,50,50000,,150000,250,150000,200000,,100000,250,,,,50000
"2023-02-24","2039-09-22","Scope 2","Commercial Building",15,150000,0,150000,10,0,,50000,50,,50000,10,0,250,150000,0,,150000
"2023-02-24","2041-05-29","Scope 1","Commercial Building",15,100000,,200000,,150000,,100000,150,200000,100000,20,250000,250,250000,100000,,0
"2023-02-24","2023-10-21","Scope 3","Scope 3 Fuel and Energy-Related Activity",,50000,250000,,40,100000,90,,200,250000,250000,25,150000,350,200000,50000,,200000
"2023-02-24","2035-09-15","Scope 2","Private Jet",0,150000,250000,,30,200000,,0,100,100000,,25,50000,200,,250000,,250000
"2023-02-24","2020-04-10","Scope 3","Scope 3 End-Life Treatment of Sold Product",10,250000,,100000,,,,50000,50,,,30,,150,50000,200000,50000,
"2023-02-24","2034-09-23","Scope 2","Data Center",30,200000,200000,200000,0,250000,,100000,150,50000,150000,0,200000,200,200000,150000,,
"2023-02-24","2037-10-15","Scope 1","Fleet Vehicles",20,150000,100000,250000,20,,,150000,200,0,0,10,,250,150000,100000,,100000
"2023-02-24","2025-01-26","Scope 2","Private Jet",30,100000,0,50000,30,100000,,,250,200000,250000,,50000,150,0,0,,100000
"2023-02-24","2026-09-05","Scope 1","Commercial Building",0,250000,150000,150000,40,250000,,200000,350,0,50000,20,150000,150,100000,200000,,200000
"2023-02-24","2027-04-04","Scope 3","Scope 3 Upstream Leased Assets",15,50000,50000,0,20,50000,,250000,300,,150000,15,200000,150,250000,50000,,250000
"2023-02-24","2021-05-01","Scope 2","Fleet Vehicles",,150000,100000,0,,,0,200000,150,,,20,,300,200000,0,200000,
