"DestinationCity","SourceCity","StartDateYear","MilesTraveled","TravelFrequency","Scope3EmissionsInTco2e"
"Hong Kong","Los Angeles","2017",99865,14,15360
"Chicago","San Francisco","2024",48203,120,4880
"Madrid","Berlin","2022",7893,235,123
"San Francisco","Seattle","2023",8923,123,650
"Bangalore","Hyderabad","2020",2353,12,235
"Washington DC","New York","2025",14231,523,300
"Chicago","San Francisco","2016",48203,120,4880
"Bangalore","Hyderabad","2017",2353,12,235
"Chicago","Seattle","2024",4882,4,364
"San Francisco","Los Angeles","2021",12412,23,500
"Madrid","Berlin","2019",7893,235,123
"Boston","New York","2020",12547,530,3215
"Amsterdam","London","2025",9765,123,2345
"Boston","New York","2018",12547,530,3215
"San Francisco","Los Angeles","2022",12412,23,500
"San Francisco","Seattle","2016",8923,123,650
"Amsterdam","London","2023",9765,123,2345
"Madrid","Berlin","2023",7893,235,123
"Bangalore","Hyderabad","2017",2353,12,235
"Chicago","San Francisco","2025",48203,120,4880
"Bangalore","Hyderabad","2024",2353,12,235
"Amsterdam","London","2019",9765,123,2345
"Hong Kong","Los Angeles","2022",99865,14,15360
"Chicago","Seattle","2018",4882,4,364
"Washington DC","New York","2020",14231,523,300
"Madrid","Berlin","2016",7893,235,123
"Chicago","San Francisco","2021",48203,120,4880
"Chicago","Seattle","2018",4882,4,364
"Chicago","San Francisco","2019",48203,120,4880
"Bangalore","Hyderabad","2022",2353,12,235
"San Francisco","Los Angeles","2023",12412,23,500
"Washington DC","New York","2017",14231,523,300
"Amsterdam","London","2024",9765,123,2345
"Madrid","Berlin","2020",7893,235,123
"Hong Kong","Los Angeles","2016",99865,14,15360
"San Francisco","Seattle","2021",8923,123,650
"Bangalore","Hyderabad","2025",2353,12,235
"Amsterdam","London","2024",9765,123,2345
"Madrid","Berlin","2021",7893,235,123
"Boston","New York","2023",12547,530,3215
"Chicago","San Francisco","2019",48203,120,4880
"Chicago","San Francisco","2025",48203,120,4880
"San Francisco","Los Angeles","2016",12412,23,500
"Chicago","Seattle","2022",4882,4,364
"Amsterdam","London","2018",9765,123,2345
"Boston","New York","2020",12547,530,3215
"Bangalore","Hyderabad","2017",2353,12,235
"Madrid","Berlin","2019",7893,235,123
"Bangalore","Hyderabad","2024",2353,12,235
"Chicago","San Francisco","2018",48203,120,4880
"Amsterdam","London","2023",9765,123,2345
"Hong Kong","Los Angeles","2020",99865,14,15360
"San Francisco","Seattle","2016",8923,123,650
"Madrid","Berlin","2021",7893,235,123
"Washington DC","New York","2022",14231,523,300
"Amsterdam","London","2017",9765,123,2345
"Hong Kong","Los Angeles","2025",99865,14,15360
"Boston","New York","2018",12547,530,3215
"Chicago","San Francisco","2016",48203,120,4880
"Chicago","Seattle","2023",4882,4,364
"Bangalore","Hyderabad","2019",2353,12,235
"Madrid","Berlin","2017",7893,235,123
"Amsterdam","London","2021",9765,123,2345
"Bangalore","Hyderabad","2025",2353,12,235
"Washington DC","New York","2020",14231,523,300
"San Francisco","Seattle","2022",8923,123,650
"Madrid","Berlin","2024",7893,235,123
"San Francisco","Los Angeles","2021",12412,23,500
"Chicago","San Francisco","2020",48203,120,4880
"Washington DC","New York","2018",14231,523,300
"Bangalore","Hyderabad","2024",2353,12,235
"Amsterdam","London","2019",9765,123,2345
"San Francisco","Los Angeles","2025",12412,23,500
"Chicago","San Francisco","2023",48203,120,4880
"Chicago","Seattle","2022",4882,4,364
"Madrid","Berlin","2017",7893,235,123
"Boston","New York","2016",12547,530,3215
"Madrid","Berlin","2018",7893,235,123
"Chicago","San Francisco","2023",48203,120,4880
"Hong Kong","Los Angeles","2025",99865,14,15360
"San Francisco","Seattle","2022",8923,123,650
"Bangalore","Hyderabad","2016",2353,12,235
"Amsterdam","London","2021",9765,123,2345
"Washington DC","New York","2017",14231,523,300
"Amsterdam","London","2019",9765,123,2345
"Madrid","Berlin","2020",7893,235,123
"Bangalore","Hyderabad","2024",2353,12,235
"Chicago","San Francisco","2024",48203,120,4880
"San Francisco","Seattle","2019",8923,123,650
"Hong Kong","Los Angeles","2020",99865,14,15360
"Chicago","Seattle","2022",4882,4,364
"San Francisco","Los Angeles","2023",12412,23,500
"Boston","New York","2017",12547,530,3215
"Madrid","Berlin","2018",7893,235,123
"Amsterdam","London","2025",9765,123,2345
"Bangalore","Hyderabad","2016",2353,12,235
"Chicago","San Francisco","2021",48203,120,4880
"Madrid","Berlin","2020",7893,235,123
"Chicago","San Francisco","2023",48203,120,4880
"Amsterdam","London","2022",9765,123,2345
"Hong Kong","Los Angeles","2017",99865,14,15360
"Bangalore","Hyderabad","2016",2353,12,235
"Washington DC","New York","2019",14231,523,300
"Chicago","Seattle","2024",4882,4,364
"San Francisco","Los Angeles","2021",12412,23,500
"San Francisco","Seattle","2025",8923,123,650
"Madrid","Berlin","2018",7893,235,123
"Amsterdam","London","2018",9765,123,2345
"Chicago","San Francisco","2017",48203,120,4880
"Boston","New York","2019",12547,530,3215
"Bangalore","Hyderabad","2023",2353,12,235
"Bangalore","Hyderabad","2021",2353,12,235
"Chicago","San Francisco","2022",48203,120,4880
"Hong Kong","Los Angeles","2020",99865,14,15360
"Madrid","Berlin","2025",7893,235,123
"Amsterdam","London","2016",9765,123,2345
"Washington DC","New York","2024",14231,523,300
"San Francisco","Seattle","2022",8923,123,650
"Chicago","Seattle","2020",4882,4,364
"Chicago","San Francisco","2018",48203,120,4880
"Bangalore","Hyderabad","2017",2353,12,235
"Boston","New York","2016",12547,530,3215
"Amsterdam","London","2025",9765,123,2345
"San Francisco","Los Angeles","2024",12412,23,500
"Madrid","Berlin","2019",7893,235,123
"Chicago","San Francisco","2021",48203,120,4880
"Boston","New York","2023",12547,530,3215
"Bangalore","Hyderabad","2023",2353,12,235
"Amsterdam","London","2024",9765,123,2345
"Madrid","Berlin","2019",7893,235,123
"San Francisco","Los Angeles","2020",12412,23,500
"Chicago","Seattle","2017",4882,4,364
"Chicago","San Francisco","2018",48203,120,4880
"Bangalore","Hyderabad","2025",2353,12,235
"Madrid","Berlin","2016",7893,235,123
"Hong Kong","Los Angeles","2021",99865,14,15360
"San Francisco","Seattle","2022",8923,123,650
"Washington DC","New York","2020",14231,523,300
"Amsterdam","London","2018",9765,123,2345
"Bangalore","Hyderabad","2025",2353,12,235
"Hong Kong","Los Angeles","2023",99865,14,15360
"Chicago","San Francisco","2021",48203,120,4880
"Boston","New York","2019",12547,530,3215
"Chicago","Seattle","2022",4882,4,364
"Madrid","Berlin","2016",7893,235,123
"Amsterdam","London","2017",9765,123,2345
"Amsterdam","London","2024",9765,123,2345
"Chicago","San Francisco","2023",48203,120,4880
"San Francisco","Los Angeles","2019",12412,23,500
"Washington DC","New York","2024",14231,523,300
"San Francisco","Seattle","2021",8923,123,650
"Madrid","Berlin","2016",7893,235,123
"Bangalore","Hyderabad","2020",2353,12,235
"Washington DC","New York","2022",14231,523,300
"Amsterdam","London","2018",9765,123,2345
"Chicago","San Francisco","2017",48203,120,4880
"Chicago","Seattle","2025",4882,4,364
"Madrid","Berlin","2025",7893,235,123
"Hong Kong","Los Angeles","2016",99865,14,15360
"Bangalore","Hyderabad","2024",2353,12,235
"Chicago","San Francisco","2018",48203,120,4880
"Amsterdam","London","2020",9765,123,2345
"Madrid","Berlin","2017",7893,235,123
"Bangalore","Hyderabad","2023",2353,12,235
"San Francisco","Seattle","2019",8923,123,650
"Boston","New York","2022",12547,530,3215
"San Francisco","Los Angeles","2021",12412,23,500
"Chicago","San Francisco","2021",48203,120,4880
"San Francisco","Los Angeles","2024",12412,23,500
"Amsterdam","London","2018",9765,123,2345
"Boston","New York","2020",12547,530,3215
"San Francisco","Seattle","2017",8923,123,650
"Bangalore","Hyderabad","2019",2353,12,235
"Madrid","Berlin","2016",7893,235,123
"Bangalore","Hyderabad","2023",2353,12,235
"Madrid","Berlin","2025",7893,235,123
"Washington DC","New York","2022",14231,523,300
"Chicago","Seattle","2020",4882,4,364
"Chicago","San Francisco","2019",48203,120,4880
"Hong Kong","Los Angeles","2016",99865,14,15360
"Amsterdam","London","2022",9765,123,2345
"Washington DC","New York","2018",14231,523,300
"Amsterdam","London","2025",9765,123,2345
"Chicago","San Francisco","2021",48203,120,4880
"San Francisco","Seattle","2023",8923,123,650
"Bangalore","Hyderabad","2017",2353,12,235
"Madrid","Berlin","2024",7893,235,123
"Hong Kong","Los Angeles","2017",99865,14,15360
"Madrid","Berlin","2023",7893,235,123
"Boston","New York","2019",12547,530,3215
"Bangalore","Hyderabad","2018",2353,12,235
"Amsterdam","London","2024",9765,123,2345
"San Francisco","Los Angeles","2021",12412,23,500
"Chicago","San Francisco","2016",48203,120,4880
"Chicago","Seattle","2020",4882,4,364
"Bangalore","Hyderabad","2022",2353,12,235
"Washington DC","New York","2025",14231,523,300
"Hong Kong","Los Angeles","2020",99865,14,15360
"San Francisco","Seattle","2025",8923,123,650
"Chicago","San Francisco","2023",48203,120,4880
"Madrid","Berlin","2019",7893,235,123
"Amsterdam","London","2022",9765,123,2345
"Chicago","Seattle","2018",4882,4,364
"Boston","New York","2024",12547,530,3215
"San Francisco","Los Angeles","2016",12412,23,500
"Madrid","Berlin","2021",7893,235,123
"Bangalore","Hyderabad","2017",2353,12,235
"Amsterdam","London","2021",9765,123,2345
"Chicago","San Francisco","2024",48203,120,4880
"Amsterdam","London","2020",9765,123,2345
"Madrid","Berlin","2022",7893,235,123
"San Francisco","Seattle","2023",8923,123,650
"Boston","New York","2016",12547,530,3215
"Chicago","San Francisco","2017",48203,120,4880
"Hong Kong","Los Angeles","2019",99865,14,15360
"Bangalore","Hyderabad","2025",2353,12,235
"San Francisco","Los Angeles","2018",12412,23,500
"Madrid","Berlin","2019",7893,235,123
"Amsterdam","London","2016",9765,123,2345
"Bangalore","Hyderabad","2018",2353,12,235
"Chicago","San Francisco","2021",48203,120,4880
"Washington DC","New York","2023",14231,523,300
"Chicago","Seattle","2024",4882,4,364
"Madrid","Berlin","2020",7893,235,123
"Hong Kong","Los Angeles","2025",99865,14,15360
"Washington DC","New York","2017",14231,523,300
"Bangalore","Hyderabad","2022",2353,12,235
"Chicago","San Francisco","2020",48203,120,4880
"Amsterdam","London","2019",9765,123,2345
"San Francisco","Seattle","2021",8923,123,650
"Chicago","Seattle","2017",4882,4,364
"Bangalore","Hyderabad","2023",2353,12,235
"Boston","New York","2016",12547,530,3215
"Amsterdam","London","2024",9765,123,2345
"Chicago","San Francisco","2022",48203,120,4880
"San Francisco","Los Angeles","2025",12412,23,500
"Madrid","Berlin","2018",7893,235,123
"Madrid","Berlin","2020",7893,235,123
"Chicago","Seattle","2024",4882,4,364
"Boston","New York","2022",12547,530,3215
"Amsterdam","London","2023",9765,123,2345
"Chicago","San Francisco","2021",48203,120,4880
"Bangalore","Hyderabad","2017",2353,12,235
"Hong Kong","Los Angeles","2016",99865,14,15360
"Chicago","San Francisco","2025",48203,120,4880
"Bangalore","Hyderabad","2019",2353,12,235
"Amsterdam","London","2018",9765,123,2345
"Madrid","Berlin","2021",7893,235,123
"Washington DC","New York","2019",14231,523,300
"San Francisco","Seattle","2024",8923,123,650
"San Francisco","Los Angeles","2025",12412,23,500
"Amsterdam","London","2022",9765,123,2345
"Boston","New York","2018",12547,530,3215
"Madrid","Berlin","2016",7893,235,123
"Chicago","San Francisco","2020",48203,120,4880
"Bangalore","Hyderabad","2023",2353,12,235
"Hong Kong","Los Angeles","2017",99865,14,15360
"Chicago","Seattle","2018",4882,4,364
"Washington DC","New York","2023",14231,523,300
"Madrid","Berlin","2022",7893,235,123
"San Francisco","Seattle","2021",8923,123,650
"San Francisco","Los Angeles","2016",12412,23,500
"Amsterdam","London","2025",9765,123,2345
"Bangalore","Hyderabad","2020",2353,12,235
"Chicago","San Francisco","2017",48203,120,4880
"Chicago","San Francisco","2019",48203,120,4880
"Madrid","Berlin","2024",7893,235,123
"Bangalore","Hyderabad","2025",2353,12,235
"Amsterdam","London","2017",9765,123,2345
"San Francisco","Los Angeles","2020",12412,23,500
"Chicago","Seattle","2022",4882,4,364
"Boston","New York","2023",12547,530,3215
"Bangalore","Hyderabad","2019",2353,12,235
"Hong Kong","Los Angeles","2016",99865,14,15360
"Chicago","San Francisco","2024",48203,120,4880
"Washington DC","New York","2021",14231,523,300
"San Francisco","Seattle","2018",8923,123,650
"Madrid","Berlin","2022",7893,235,123
"Amsterdam","London","2016",9765,123,2345
"Madrid","Berlin","2023",7893,235,123
"Boston","New York","2021",12547,530,3215
"Amsterdam","London","2018",9765,123,2345
"Bangalore","Hyderabad","2025",2353,12,235
"San Francisco","Seattle","2017",8923,123,650
"Chicago","San Francisco","2019",48203,120,4880
"Hong Kong","Los Angeles","2024",99865,14,15360
"San Francisco","Los Angeles","2020",12412,23,500
"Bangalore","Hyderabad","2018",2353,12,235
"Chicago","San Francisco","2022",48203,120,4880
"Amsterdam","London","2020",9765,123,2345
"Washington DC","New York","2021",14231,523,300
"Madrid","Berlin","2016",7893,235,123
"Chicago","Seattle","2023",4882,4,364
"San Francisco","Los Angeles","2019",12412,23,500
"Washington DC","New York","2025",14231,523,300
"Bangalore","Hyderabad","2024",2353,12,235
"Madrid","Berlin","2017",7893,235,123
"Amsterdam","London","2018",9765,123,2345
"Chicago","San Francisco","2022",48203,120,4880
"San Francisco","Seattle","2020",8923,123,650
"Hong Kong","Los Angeles","2017",99865,14,15360
"Amsterdam","London","2016",9765,123,2345
"Chicago","San Francisco","2021",48203,120,4880
"Chicago","Seattle","2019",4882,4,364
"Boston","New York","2025",12547,530,3215
"Bangalore","Hyderabad","2024",2353,12,235
"Madrid","Berlin","2023",7893,235,123
"Amsterdam","London","2017",9765,123,2345
"Bangalore","Hyderabad","2019",2353,12,235
"Hong Kong","Los Angeles","2021",99865,14,15360
"San Francisco","Seattle","2024",8923,123,650
"Madrid","Berlin","2020",7893,235,123
"Chicago","San Francisco","2023",48203,120,4880
"Boston","New York","2025",12547,530,3215
"Bangalore","Hyderabad","2022",2353,12,235
"San Francisco","Los Angeles","2016",12412,23,500
"Chicago","Seattle","2018",4882,4,364
"Washington DC","New York","2024",14231,523,300
"Chicago","San Francisco","2017",48203,120,4880
"Madrid","Berlin","2022",7893,235,123
"Amsterdam","London","2023",9765,123,2345
"San Francisco","Seattle","2020",8923,123,650
"Chicago","San Francisco","2025",48203,120,4880
"Washington DC","New York","2021",14231,523,300
"Hong Kong","Los Angeles","2016",99865,14,15360
"Madrid","Berlin","2019",7893,235,123
"Amsterdam","London","2018",9765,123,2345
"Bangalore","Hyderabad","2021",2353,12,235
"Amsterdam","London","2025",9765,123,2345
"Chicago","Seattle","2016",4882,4,364
"Bangalore","Hyderabad","2017",2353,12,235
"Madrid","Berlin","2019",7893,235,123
"Chicago","San Francisco","2024",48203,120,4880
"Boston","New York","2018",12547,530,3215
"San Francisco","Los Angeles","2023",12412,23,500
"Boston","New York","2020",12547,530,3215
"Bangalore","Hyderabad","2022",2353,12,235
"San Francisco","Seattle","2024",8923,123,650
"Chicago","San Francisco","2019",48203,120,4880
"Amsterdam","London","2017",9765,123,2345
"Hong Kong","Los Angeles","2022",99865,14,15360
"Madrid","Berlin","2018",7893,235,123
"Washington DC","New York","2020",14231,523,300
"Chicago","San Francisco","2023",48203,120,4880
"Amsterdam","London","2021",9765,123,2345
"San Francisco","Los Angeles","2025",12412,23,500
"Chicago","Seattle","2016",4882,4,364
"Madrid","Berlin","2016",7893,235,123
"Bangalore","Hyderabad","2021",2353,12,235
"Chicago","San Francisco","2020",48203,120,4880
"San Francisco","Los Angeles","2022",12412,23,500
"Bangalore","Hyderabad","2018",2353,12,235
"San Francisco","Seattle","2025",8923,123,650
"Madrid","Berlin","2023",7893,235,123
"Amsterdam","London","2019",9765,123,2345
"Boston","New York","2017",12547,530,3215
"Chicago","San Francisco","2024",48203,120,4880
"Hong Kong","Los Angeles","2024",99865,14,15360
"Washington DC","New York","2023",14231,523,300
"Bangalore","Hyderabad","2016",2353,12,235
"Chicago","Seattle","2018",4882,4,364
"Madrid","Berlin","2019",7893,235,123
"Amsterdam","London","2022",9765,123,2345
"San Francisco","Seattle","2025",8923,123,650
"Washington DC","New York","2020",14231,523,300
"Chicago","San Francisco","2017",48203,120,4880
"San Francisco","Los Angeles","2021",12412,23,500
"Amsterdam","London","2019",9765,123,2345
"Bangalore","Hyderabad","2018",2353,12,235
"Madrid","Berlin","2025",7893,235,123
"Boston","New York","2024",12547,530,3215
"Bangalore","Hyderabad","2016",2353,12,235
"Chicago","San Francisco","2022",48203,120,4880
"Chicago","Seattle","2023",4882,4,364
"Hong Kong","Los Angeles","2017",99865,14,15360
"Madrid","Berlin","2021",7893,235,123
"Amsterdam","London","2020",9765,123,2345
"Bangalore","Hyderabad","2017",2353,12,235
"Madrid","Berlin","2019",7893,235,123
"Chicago","San Francisco","2023",48203,120,4880
"Amsterdam","London","2020",9765,123,2345
"Boston","New York","2025",12547,530,3215
"Chicago","Seattle","2018",4882,4,364
"San Francisco","Los Angeles","2024",12412,23,500
"Madrid","Berlin","2022",7893,235,123
"Chicago","San Francisco","2021",48203,120,4880
"Hong Kong","Los Angeles","2016",99865,14,15360
"Washington DC","New York","2025",14231,523,300
"Amsterdam","London","2021",9765,123,2345
"San Francisco","Seattle","2020",8923,123,650
"Bangalore","Hyderabad","2019",2353,12,235
"Chicago","San Francisco","2017",48203,120,4880
"Hong Kong","Los Angeles","2018",99865,14,15360
"Madrid","Berlin","2022",7893,235,123
"Bangalore","Hyderabad","2023",2353,12,235
"Washington DC","New York","2016",14231,523,300
"Amsterdam","London","2024",9765,123,2345
"Chicago","Seattle","2024",4882,4,364
"Madrid","Berlin","2022",7893,235,123
"Amsterdam","London","2016",9765,123,2345
"Bangalore","Hyderabad","2023",2353,12,235
"San Francisco","Los Angeles","2025",12412,23,500
"San Francisco","Seattle","2019",8923,123,650
"Chicago","San Francisco","2021",48203,120,4880
"Boston","New York","2018",12547,530,3215
"Madrid","Berlin","2017",7893,235,123
"Chicago","San Francisco","2020",48203,120,4880
"Amsterdam","London","2020",9765,123,2345
"Chicago","Seattle","2023",4882,4,364
"Hong Kong","Los Angeles","2025",99865,14,15360
"Washington DC","New York","2019",14231,523,300
"Bangalore","Hyderabad","2016",2353,12,235
"Bangalore","Hyderabad","2018",2353,12,235
"San Francisco","Seattle","2017",8923,123,650
"Madrid","Berlin","2024",7893,235,123
"Chicago","San Francisco","2021",48203,120,4880
"Boston","New York","2022",12547,530,3215
"Amsterdam","London","2023",9765,123,2345
"San Francisco","Los Angeles","2021",12412,23,500
"Madrid","Berlin","2025",7893,235,123
"Amsterdam","London","2016",9765,123,2345
"San Francisco","Los Angeles","2018",12412,23,500
"Washington DC","New York","2020",14231,523,300
"Bangalore","Hyderabad","2022",2353,12,235
"San Francisco","Seattle","2019",8923,123,650
"Chicago","San Francisco","2017",48203,120,4880
"Chicago","Seattle","2024",4882,4,364
"Amsterdam","London","2017",9765,123,2345
"Chicago","San Francisco","2024",48203,120,4880
"Bangalore","Hyderabad","2018",2353,12,235
"Hong Kong","Los Angeles","2023",99865,14,15360
"Boston","New York","2016",12547,530,3215
"Madrid","Berlin","2019",7893,235,123
"San Francisco","Seattle","2021",8923,123,650
"Bangalore","Hyderabad","2020",2353,12,235
"Madrid","Berlin","2022",7893,235,123
"Amsterdam","London","2025",9765,123,2345
"Chicago","San Francisco","2018",48203,120,4880
"Boston","New York","2016",12547,530,3215
"San Francisco","Los Angeles","2023",12412,23,500
"Hong Kong","Los Angeles","2024",99865,14,15360
"Bangalore","Hyderabad","2020",2353,12,235
"Chicago","Seattle","2021",4882,4,364
"Chicago","San Francisco","2025",48203,120,4880
"Amsterdam","London","2017",9765,123,2345
"Washington DC","New York","2019",14231,523,300
"Madrid","Berlin","2022",7893,235,123
"Bangalore","Hyderabad","2025",2353,12,235
"Hong Kong","Los Angeles","2022",99865,14,15360
"Chicago","Seattle","2024",4882,4,364
"Amsterdam","London","2021",9765,123,2345
"Washington DC","New York","2018",14231,523,300
"Chicago","San Francisco","2019",48203,120,4880
"Madrid","Berlin","2020",7893,235,123
"San Francisco","Los Angeles","2017",12412,23,500
"Madrid","Berlin","2016",7893,235,123
"Boston","New York","2023",12547,530,3215
