"ForecastStatus","ProductFamily","OwnerName","AccountId","ProductName","ExternalId","LastProcessedDate","Time","ParentName","AccountType","SalesAgreementName","Industry","DerivedStatus","AccountName","Plan","UnitPrice","Price","Forecast","Attainment","Actual"
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Hammer H700","Account.001","2020-06-19","2020-10-03","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Quarterly12_2020-10-03","Technology","Approved","Ohana Incorporated.",40000,5750,5531,54512,85,46335
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Pulverizer P20","Account.054","2020-06-19","2020-01-22","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Yearly18_2020-01-22","Manufacturing","Pending Approval","Tech Labs",27500,4750,4568,31468,92,28951
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Compactor 3500","Account.044","2020-06-19","2019-10-08","Ohana Technologies","Small Business","Wellspring, Inc. SA_Quarterly18_2019-10-08","Financial Services","Upcoming Renewal","Wellspring, Inc.",32500,5750,5536,36204,105,38014
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Compactor 9000","Account.045","2020-06-19","2019-04-26","Ohana Technologies","Mid-Market","Momentum Design SA_Yearly12_2019-04-26","Financial Services","Approved","Momentum Design",32500,8100,7978,37141,99,36770
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Hammer H500","Account.011","2020-06-19","2020-05-16","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly6_2020-05-16","Technology","Upcoming Renewal","Meridian Partners",25000,4200,4066,29209,91,26580
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Ripper 27","Account.001","2020-06-19","2019-09-18","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly12_2019-09-18","Technology","Approved","Ohana Incorporated.",35000,1000,900,47489,85,40366
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Backhoe Attachment R1","Account.010","2020-06-19","2019-11-20","Ohana Technologies","Partner","Acme Partners SA_Quarterly12_2019-11-20","Technology","Pending Approval","Acme Partners",5000,19500,17653,5862,89,5217
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Pulverizer P10","Account.046","2020-06-19","2020-12-15","Advanced Communications","Enterprise","Silodyne Company SA_Yearly18_2020-12-15","Healthcare & Life Sciences","Upcoming Renewal","Silodyne Company",17500,4500,4220,20580,89,18316
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Trencher T36","Account.052","2020-06-19","2019-05-20","Ohana Technologies","Enterprise","Red Studio Designs SA_Quarterly12_2019-05-20","Communications","Approved","Red Studio Designs",7500,6000,5374,7018,108,7579
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Trencher T48","Account.019","2020-06-19","2019-02-10","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Monthly12_2019-02-10","Consumer","Upcoming Renewal","Haven Enterprises",35000,6400,6154,40538,94,38106
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Compactor 9000","Account.010","2020-06-19","2020-05-15","Ohana Technologies","Partner","Acme Partners SA_Yearly6_2020-05-15","Technology","Approved","Acme Partners",25000,8100,7573,27028,110,29731
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Sweeper S1000","Account.059","2020-06-19","2020-07-21","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly6_2020-07-21","Technology","Pending Approval","Integrity Systems",25000,7500,7344,28027,102,28588
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Compactor 9000","Account.052","2020-06-19","2020-11-28","Ohana Technologies","Enterprise","Red Studio Designs SA_Quarterly18_2020-11-28","Communications","Upcoming Renewal","Red Studio Designs",22500,8100,6759,21161,108,22854
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Ripper 34","Account.045","2020-06-19","2020-08-23","Ohana Technologies","Mid-Market","Momentum Design SA_Monthly18_2020-08-23","Financial Services","Upcoming Renewal","Momentum Design",30000,1350,1286,34366,99,34022
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Hammer H700","Account.019","2020-06-19","2020-02-16","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly18_2020-02-16","Consumer","Approved","Haven Enterprises",10000,5750,5530,11635,94,10937
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Utility Broom UB1000","Account.046","2020-06-19","2019-07-29","Advanced Communications","Enterprise","Silodyne Company SA_Yearly6_2019-07-29","Healthcare & Life Sciences","Pending Approval","Silodyne Company",7500,4500,3766,8897,89,7918
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Trencher T48","Account.011","2020-06-19","2019-07-04","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly6_2019-07-04","Technology","Approved","Meridian Partners",17500,6400,6095,20175,91,18359
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Pickup Broom PB200","Account.054","2020-06-19","2019-03-27","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly18_2019-03-27","Manufacturing","Upcoming Renewal","Tech Labs",27500,7500,6743,31941,92,29386
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Trencher T60","Account.044","2020-06-19","2019-09-21","Ohana Technologies","Small Business","Wellspring, Inc. SA_Yearly12_2019-09-21","Financial Services","Upcoming Renewal","Wellspring, Inc.",10000,9000,8387,11071,105,11625
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Backhoe Attachment R2","Account.010","2020-06-19","2019-11-14","Ohana Technologies","Partner","Acme Partners SA_Monthly6_2019-11-14","Technology","Upcoming Renewal","Acme Partners",15000,20500,16891,17182,99,17010
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Pulverizer P10","Account.059","2020-06-19","2020-06-20","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly12_2020-06-20","Technology","Pending Approval","Integrity Systems",15000,4500,4213,16897,102,17235
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Pickup Broom PB100","Account.001","2020-06-19","2020-07-25","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly6_2020-07-25","Technology","Approved","Ohana Incorporated.",22500,6900,6672,30475,85,25904
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 37","Account.010","2020-06-19","2020-09-30","Ohana Technologies","Partner","Acme Partners SA_Quarterly18_2020-09-30","Technology","Approved","Acme Partners",7500,2000,1940,8048,110,8853
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Compactor 9500","Account.001","2020-06-19","2019-06-30","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly6_2019-06-30","Technology","Upcoming Renewal","Ohana Incorporated.",27500,13000,12442,37318,85,31720
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Hammer H500","Account.010","2020-06-19","2020-07-07","Ohana Technologies","Partner","Acme Partners SA_Yearly18_2020-07-07","Technology","Upcoming Renewal","Acme Partners",10000,4200,3972,10749,110,11824
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Pulverizer P20","Account.010","2020-06-19","2020-02-17","Ohana Technologies","Partner","Acme Partners SA_Quarterly12_2020-02-17","Technology","Pending Approval","Acme Partners",15000,4750,4003,16210,110,17831
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Ripper 37","Account.052","2020-06-19","2019-05-04","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly12_2019-05-04","Communications","Approved","Red Studio Designs",7500,2000,1913,6919,108,7473
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Ripper 19","Account.011","2020-06-19","2020-11-26","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly18_2020-11-26","Technology","Upcoming Renewal","Meridian Partners",10000,800,646,11811,91,10748
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Ripper 27","Account.046","2020-06-19","2019-01-24","Advanced Communications","Enterprise","Silodyne Company SA_Quarterly18_2019-01-24","Healthcare & Life Sciences","Approved","Silodyne Company",5000,1000,960,5869,89,5223
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Sweeper S1000","Account.019","2020-06-19","2020-12-29","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly18_2020-12-29","Consumer","Upcoming Renewal","Haven Enterprises",32500,7500,6793,38055,94,35772
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Trencher T36","Account.045","2020-06-19","2019-10-17","Ohana Technologies","Mid-Market","Momentum Design SA_Yearly6_2019-10-17","Financial Services","Approved","Momentum Design",12500,6000,5590,14311,99,14168
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Backhoe Attachment R1","Account.044","2020-06-19","2020-08-14","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly18_2020-08-14","Financial Services","Upcoming Renewal","Wellspring, Inc.",10000,19500,17242,11130,105,11687
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Hammer H500","Account.054","2020-06-19","2020-05-12","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly18_2020-05-12","Manufacturing","Pending Approval","Tech Labs",37500,4200,3526,42823,92,39397
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Compactor 3500","Account.059","2020-06-19","2019-12-15","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly6_2019-12-15","Technology","Upcoming Renewal","Integrity Systems",32500,5750,5538,36341,102,37068
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Hammer H500","Account.059","2020-06-19","2019-04-03","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly18_2019-04-03","Technology","Approved","Integrity Systems",27500,4200,3806,30958,102,31577
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Compactor 9500","Account.001","2020-06-19","2020-03-12","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly6_2020-03-12","Technology","Upcoming Renewal","Ohana Incorporated.",10000,13000,12376,13644,85,11597
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Trencher T48","Account.010","2020-06-19","2020-12-12","Ohana Technologies","Partner","Acme Partners SA_Quarterly6_2020-12-12","Technology","Approved","Acme Partners",10000,6400,6097,10678,110,11746
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Ripper 34","Account.046","2020-06-19","2019-08-19","Advanced Communications","Enterprise","Silodyne Company SA_Yearly18_2019-08-19","Healthcare & Life Sciences","Pending Approval","Silodyne Company",25000,1350,1268,29275,89,26055
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Ripper 37","Account.011","2020-06-19","2020-01-10","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly6_2020-01-10","Technology","Upcoming Renewal","Meridian Partners",17500,2000,1774,21258,91,19345
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Ripper 19","Account.045","2020-06-19","2019-02-08","Ohana Technologies","Mid-Market","Momentum Design SA_Yearly12_2019-02-08","Financial Services","Upcoming Renewal","Momentum Design",5000,800,764,5624,99,5568
"Expired","Attachments","Ely East","0013h00000CPh5tAAD","Trencher T48","Account.054","2020-06-19","2020-10-08","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly12_2020-10-08","Manufacturing","Pending Approval","Tech Labs",30000,6400,6269,34486,92,31727
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Pickup Broom PB200","Account.052","2020-06-19","2020-04-17","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly6_2020-04-17","Communications","Approved","Red Studio Designs",20000,7500,7070,18495,108,19975
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Trencher T60","Account.019","2020-06-19","2020-09-27","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Monthly6_2020-09-27","Consumer","Upcoming Renewal","Haven Enterprises",30000,9000,8421,34781,94,32694
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Backhoe Attachment R1","Account.010","2020-06-19","2019-07-13","Ohana Technologies","Partner","Acme Partners SA_Quarterly6_2019-07-13","Technology","Approved","Acme Partners",17500,19500,16587,23726,85,20167
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Pulverizer P10","Account.044","2020-06-19","2020-04-19","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly6_2020-04-19","Financial Services","Upcoming Renewal","Wellspring, Inc.",37500,4500,4210,41501,105,43576
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Ripper 27","Account.001","2020-06-19","2019-10-20","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Quarterly12_2019-10-20","Technology","Pending Approval","Ohana Incorporated.",40000,1000,963,54922,85,46684
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Hammer H700","Account.010","2020-06-19","2019-08-31","Ohana Technologies","Partner","Acme Partners SA_Yearly18_2019-08-31","Technology","Upcoming Renewal","Acme Partners",40000,5750,5351,43030,110,47333
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Sweeper S1000","Account.045","2020-06-19","2020-08-23","Ohana Technologies","Mid-Market","Momentum Design SA_Yearly12_2020-08-23","Financial Services","Approved","Momentum Design",7500,7500,7142,8473,99,8388
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Trencher T36","Account.044","2020-06-19","2019-02-26","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly18_2019-02-26","Financial Services","Approved","Wellspring, Inc.",22500,6000,5744,24740,105,25977
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Utility Broom UB1000","Account.054","2020-06-19","2020-01-26","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly12_2020-01-26","Manufacturing","Upcoming Renewal","Tech Labs",25000,4500,3724,28957,92,26640
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Pickup Broom PB100","Account.010","2020-06-19","2019-03-25","Ohana Technologies","Partner","Acme Partners SA_Monthly18_2019-03-25","Technology","Upcoming Renewal","Acme Partners",40000,6900,6236,44387,102,45275
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Pulverizer P20","Account.011","2020-06-19","2020-03-14","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly12_2020-03-14","Technology","Approved","Meridian Partners",22500,4750,4526,27148,91,24705
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Hammer H700","Account.019","2020-06-19","2019-09-05","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly18_2019-09-05","Consumer","Pending Approval","Haven Enterprises",37500,5750,5458,44005,94,41365
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Compactor 3500","Account.059","2020-06-19","2019-05-12","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly12_2019-05-12","Technology","Upcoming Renewal","Integrity Systems",32500,5750,4675,36078,102,36800
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Backhoe Attachment R2","Account.046","2020-06-19","2019-08-25","Advanced Communications","Enterprise","Silodyne Company SA_Yearly18_2019-08-25","Healthcare & Life Sciences","Approved","Silodyne Company",40000,20500,17734,46988,89,41819
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Compactor 9000","Account.052","2020-06-19","2019-11-21","Ohana Technologies","Enterprise","Red Studio Designs SA_Quarterly12_2019-11-21","Communications","Pending Approval","Red Studio Designs",25000,8100,7857,23088,108,24935
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Ripper 19","Account.046","2020-06-19","2020-07-24","Advanced Communications","Enterprise","Silodyne Company SA_Quarterly18_2020-07-24","Healthcare & Life Sciences","Upcoming Renewal","Silodyne Company",12500,800,782,14474,89,12882
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Ripper 37","Account.001","2020-06-19","2019-04-15","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly12_2019-04-15","Technology","Approved","Ohana Incorporated.",15000,2000,1898,20544,85,17462
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Sweeper S1000","Account.052","2020-06-19","2020-09-27","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly18_2020-09-27","Communications","Upcoming Renewal","Red Studio Designs",12500,7500,6334,11682,108,12617
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Compactor 3500","Account.010","2020-06-19","2019-05-01","Ohana Technologies","Partner","Acme Partners SA_Monthly6_2019-05-01","Technology","Approved","Acme Partners",32500,5750,5368,34646,110,38111
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Backhoe Attachment R2","Account.045","2020-06-19","2019-12-03","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly18_2019-12-03","Financial Services","Pending Approval","Momentum Design",5000,20500,18027,5689,99,5632
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Hammer H700","Account.011","2020-06-19","2019-06-08","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly6_2019-06-08","Technology","Upcoming Renewal","Meridian Partners",20000,5750,5509,24302,91,22115
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Trencher T60","Account.010","2020-06-19","2020-12-18","Ohana Technologies","Partner","Acme Partners SA_Monthly6_2020-12-18","Technology","Upcoming Renewal","Acme Partners",32500,9000,8557,30049,108,32453
"Expired","Attachments","Bill West","0013h00000CPh6hAAD","Ripper 27","Account.019","2020-06-19","2020-02-20","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly12_2020-02-20","Consumer","Approved","Haven Enterprises",20000,1000,845,23150,94,21761
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Compactor 9000","Account.044","2020-06-19","2020-06-21","Ohana Technologies","Small Business","Wellspring, Inc. SA_Yearly6_2020-06-21","Financial Services","Upcoming Renewal","Wellspring, Inc.",35000,8100,7269,38470,105,40393
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Backhoe Attachment R1","Account.059","2020-06-19","2020-10-06","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly6_2020-10-06","Technology","Approved","Integrity Systems",27500,19500,18366,31000,102,31620
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Compactor 3500","Account.054","2020-06-19","2020-11-28","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly12_2020-11-28","Manufacturing","Upcoming Renewal","Tech Labs",12500,5750,5442,14282,92,13139
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Pulverizer P10","Account.046","2020-06-19","2020-05-22","Advanced Communications","Enterprise","Silodyne Company SA_Yearly6_2020-05-22","Healthcare & Life Sciences","Pending Approval","Silodyne Company",40000,4500,3890,46688,89,41552
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Pickup Broom PB100","Account.052","2020-06-19","2019-01-01","Ohana Technologies","Enterprise","Red Studio Designs SA_Monthly12_2019-01-01","Communications","Upcoming Renewal","Red Studio Designs",32500,6900,6160,30110,108,32519
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 19","Account.010","2020-06-19","2019-10-04","Ohana Technologies","Partner","Acme Partners SA_Yearly12_2019-10-04","Technology","Approved","Acme Partners",22500,800,776,23967,110,26364
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Pulverizer P20","Account.045","2020-06-19","2019-01-23","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly6_2019-01-23","Financial Services","Pending Approval","Momentum Design",7500,4750,4253,8587,99,8501
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Ripper 34","Account.059","2020-06-19","2019-09-18","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly18_2019-09-18","Technology","Upcoming Renewal","Integrity Systems",32500,1350,1307,36143,102,36866
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Utility Broom UB1000","Account.001","2020-06-19","2019-08-26","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Yearly6_2019-08-26","Technology","Approved","Ohana Incorporated.",17500,4500,3889,23784,85,20216
"Expired","Attachments","Ely East","0013h00000CPh5tAAD","Trencher T36","Account.054","2020-06-19","2019-11-01","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly12_2019-11-01","Manufacturing","Approved","Tech Labs",22500,6000,5742,25837,92,23770
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Compactor 9500","Account.019","2020-06-19","2020-06-22","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Yearly18_2020-06-22","Consumer","Upcoming Renewal","Haven Enterprises",37500,13000,12235,43552,94,40939
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Pickup Broom PB200","Account.011","2020-06-19","2019-05-04","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly6_2019-05-04","Technology","Upcoming Renewal","Meridian Partners",12500,7500,6294,14495,91,13190
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Hammer H500","Account.044","2020-06-19","2020-12-12","Ohana Technologies","Small Business","Wellspring, Inc. SA_Quarterly12_2020-12-12","Financial Services","Pending Approval","Wellspring, Inc.",7500,4200,3973,8329,105,8745
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Trencher T48","Account.010","2020-06-19","2020-03-24","Ohana Technologies","Partner","Acme Partners SA_Yearly12_2020-03-24","Technology","Upcoming Renewal","Acme Partners",10000,6400,6389,11008,105,11558
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Compactor 9000","Account.052","2020-06-19","2020-08-25","Ohana Technologies","Enterprise","Red Studio Designs SA_Quarterly12_2020-08-25","Communications","Approved","Red Studio Designs",10000,8100,7553,9202,108,9938
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Backhoe Attachment R2","Account.044","2020-06-19","2019-10-05","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly18_2019-10-05","Financial Services","Approved","Wellspring, Inc.",5000,20500,17324,5570,105,5849
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Ripper 34","Account.046","2020-06-19","2020-01-07","Advanced Communications","Enterprise","Silodyne Company SA_Quarterly18_2020-01-07","Healthcare & Life Sciences","Upcoming Renewal","Silodyne Company",10000,1350,1124,11654,89,10372
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Pulverizer P10","Account.011","2020-06-19","2020-09-26","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly12_2020-09-26","Technology","Pending Approval","Meridian Partners",37500,4500,4227,44368,91,40375
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Compactor 3500","Account.010","2020-06-19","2019-07-01","Ohana Technologies","Partner","Acme Partners SA_Monthly18_2019-07-01","Technology","Upcoming Renewal","Acme Partners",32500,5750,5357,38243,94,35948
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Sweeper S1000","Account.010","2020-06-19","2019-12-06","Ohana Technologies","Partner","Acme Partners SA_Quarterly6_2019-12-06","Technology","Approved","Acme Partners",10000,7500,6115,10786,110,11865
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Sweeper S1000","Account.019","2020-06-19","2020-10-24","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Yearly18_2020-10-24","Consumer","Upcoming Renewal","Haven Enterprises",40000,7500,7473,47046,94,44223
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Trencher T48","Account.001","2020-06-19","2019-12-09","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly6_2019-12-09","Technology","Pending Approval","Ohana Incorporated.",40000,6400,6150,54734,85,46524
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Ripper 37","Account.059","2020-06-19","2020-11-11","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly6_2020-11-11","Technology","Approved","Integrity Systems",10000,2000,1902,11140,102,11363
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Pickup Broom PB100","Account.054","2020-06-19","2020-04-09","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly12_2020-04-09","Manufacturing","Upcoming Renewal","Tech Labs",32500,6900,5523,37604,92,34596
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Pulverizer P20","Account.045","2020-06-19","2020-07-27","Ohana Technologies","Mid-Market","Momentum Design SA_Yearly6_2020-07-27","Financial Services","Approved","Momentum Design",22500,4750,4099,25309,99,25056
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Trencher T36","Account.044","2020-06-19","2019-04-02","Ohana Technologies","Small Business","Wellspring, Inc. SA_Quarterly12_2019-04-02","Financial Services","Upcoming Renewal","Wellspring, Inc.",22500,6000,5581,24649,105,25881
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Hammer H500","Account.059","2020-06-19","2020-02-05","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly12_2020-02-05","Technology","Upcoming Renewal","Integrity Systems",17500,4200,3995,19472,102,19861
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Ripper 27","Account.045","2020-06-19","2020-05-20","Ohana Technologies","Mid-Market","Momentum Design SA_Monthly12_2020-05-20","Financial Services","Pending Approval","Momentum Design",35000,1000,801,39876,99,39477
