"Status","Variable","Opportunity","Weighted_Pipeline"
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1859
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1862
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1853
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1863
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1857
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Optimized","Prototype","UlyssesNet - Smart Alarm 2",14558
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1857
"Max","Prototype","Aims Social Inc. - Smart Alarm",
"Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",14560
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1857
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1858
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1861
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1861
"Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",14560
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1862
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1858
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1857
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1857
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1863
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1861
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1863
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1861
"Optimized","Expert Consultation","Goodman Imports - Set Series",14560
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1859
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1860
"Max","Prototype","Anaco Limited - EcoStruxure 9-Series",
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1864
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1858
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1859
"Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",14559
"Max","Expert Consultation","Big Sky & Sons - Building Advisor",
"Max","Prototype","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1859
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1855
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1858
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1861
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1858
"Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",14563
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1857
"Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",14563
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1860
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14560
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1858
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",14558
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1858
"Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",14559
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1859
"Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",14559
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1859
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1862
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1856
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1860
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1855
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1856
"Optimized","Prototype","Advanced Communications - Value Reporting",14558
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1859
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1861
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1860
"Max","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",
"Max","Expert Consultation","Goodman Imports - Set Series",
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1861
"Max","Executive Sponsorship","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1861
"Max","Prototype","Permadyne - Rack Power Distribution",
"Max","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1860
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1859
"Max","Executive Sponsorship","Red Studio Designs - Sustainability advice",
"Max","Expert Consultation","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1858
"Max","Prototype","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1859
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1857
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1862
"Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",14562
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1861
"Max","Prototype","Permadyne - Rack Power Distribution",
"Max","Executive Sponsorship","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1860
"Optimized","Expert Consultation","Advanced Communications - Value Reporting",14560
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1855
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1856
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1856
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1859
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1857
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1857
"Max","Executive Sponsorship","Towson Inc. - Pressure Sensors",
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Optimized","Prototype","UlyssesNet - Smart Alarm 2",14558
"Optimized","Prototype","AJC Corporation - EcoStruxure Grid",14560
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1858
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Max","Expert Consultation","Aims Social Inc. - Smart Alarm",
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1859
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1862
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1855
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1859
"Max","Prototype","Advanced Communications - Value Reporting",
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1859
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1855
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1858
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14562
"Max","Expert Consultation","Allied Technologies - Value Reporting",
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1860
"Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",14560
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14558
"Optimized","Prototype","Advanced Communications - Value Reporting",14561
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1855
"Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",14563
"Max","Expert Consultation","Big Sky & Sons - Building Advisor",
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1860
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1857
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14560
"Max","Prototype","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1858
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1861
"Max","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1858
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1857
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1858
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1856
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1858
"Max","Prototype","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1860
"Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",14559
"Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",14561
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1856
"Optimized","Prototype","Towson Inc. - Pressure Sensors",14558
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1861
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1860
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1858
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14562
"Max","Expert Consultation","Allied Technologies - Value Reporting",
"Max","Expert Consultation","Plasmosis Inc. - Value Reporting",
"Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",14562
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1859
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1860
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1860
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1859
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1859
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1858
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1860
"Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",14561
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1860
"Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",14563
"Max","Executive Sponsorship","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1857
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1858
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14560
"Max","Prototype","Permadyne - Rack Power Distribution",
"Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",14557
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1860
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1859
"Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",14558
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1859
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1858
"Max","Prototype","Allied Technologies - Value Reporting",
"Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",14560
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1856
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1859
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1855
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1859
"Optimized","Prototype","Advanced Communications - Value Reporting",14558
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1859
"Max","Executive Sponsorship","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1859
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1859
"Max","Prototype","Amptech Corporation - EcosStruxure Monitoring",
"Max","Expert Consultation","Red Studio Designs - Sustainability advice",
"Optimized","Prototype","Ohana Insurance - CX Enclosures",14560
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1864
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Max","Prototype","Permadyne - Rack Power Distribution",
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",14560
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1859
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1856
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1856
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1859
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1860
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1856
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1863
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1856
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1854
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1865
"Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",14559
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1858
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1860
"Max","Prototype","Advanced Communications - Value Reporting",
"Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",14558
"Optimized","Prototype","Ohana Insurance - CX Enclosures",14561
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1858
"Optimized","Prototype","Goodman Imports - Set Series",14561
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1863
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1860
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1861
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1858
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1861
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1862
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1862
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1861
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",14563
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1860
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1859
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1858
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1860
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1862
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1854
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1861
"Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",14562
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1858
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1861
"Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",14558
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1863
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1857
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",14561
"Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",14558
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1860
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1857
"Optimized","Prototype","AJC Corporation - EcoStruxure Grid",14561
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1861
"Max","Prototype","Towson Inc. - Pressure Sensors",
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1862
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1861
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1857
"Max","Expert Consultation","Red Studio Designs - Sustainability advice",
"Optimized","Expert Consultation","Goodman Imports - Set Series",14560
"Optimized","Expert Consultation","Advanced Communications - Value Reporting",14560
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Optimized","Prototype","Goodman Imports - Set Series",14557
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1862
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1861
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1859
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1860
"Optimized","Expert Consultation","Biospan LLC. - Pact Series",14561
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1857
"Max","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",
"Max","Executive Sponsorship","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1861
"Optimized","Prototype","Advanced Communications - Value Reporting",14562
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1860
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1859
"Max","Prototype","Aims Social Inc. - Smart Alarm",
"Max","Prototype","UlyssesNet - Smart Alarm 2",
"Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",14566
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1859
"Max","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1861
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1857
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1855
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1859
"Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",14562
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1856
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1861
"Max","Executive Sponsorship","Ohana Insurance - CX Enclosures",
"Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",14558
"Max","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1857
"Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",14560
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1861
"Max","Expert Consultation","Red Studio Designs - Sustainability advice",
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1860
"Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",14559
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1862
"Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",14562
"Max","Prototype","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1862
